epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,308.119,0.70075,0.58244,0.92813,0.92433,0.9205,0.97,0.82947,0.76804,0.45588,0.88707,0.000107726,0.000107726,0.000107726
43,315.021,0.68661,0.6185,0.95097,0.88419,0.96277,0.97833,0.8294,0.77944,0.46072,0.90212,0.000102231,0.000102231,0.000102231
44,322.015,0.63698,0.58722,0.92701,0.90869,0.95381,0.97833,0.8154,0.80873,0.4882,0.92544,9.67365e-05,9.67365e-05,9.67365e-05
45,329.032,0.65448,0.58951,0.91201,0.90533,0.91595,0.97,0.81182,0.81865,0.49265,0.93405,9.1242e-05,9.1242e-05,9.1242e-05
46,335.959,0.65139,0.58637,0.9341,0.90343,0.91332,0.94525,0.78248,0.82204,0.49145,0.93327,8.57475e-05,8.57475e-05,8.57475e-05
47,342.789,0.69614,0.58935,0.94369,0.90418,0.90829,0.94525,0.78756,0.83659,0.4858,0.93562,8.0253e-05,8.0253e-05,8.0253e-05
48,349.833,0.67967,0.60735,0.94073,0.88501,0.93363,0.94525,0.78245,0.81318,0.52755,0.92888,7.47585e-05,7.47585e-05,7.47585e-05
49,356.943,0.62322,0.52749,0.90962,0.88592,0.93502,0.94525,0.77982,0.80123,0.55158,0.92358,6.9264e-05,6.9264e-05,6.9264e-05
50,364.496,0.67099,0.55894,0.93899,0.88306,0.95261,0.94525,0.78123,0.80547,0.57649,0.92075,6.37695e-05,6.37695e-05,6.37695e-05
51,413.784,0.60778,0.49674,0.89231,0.90016,0.93216,0.94525,0.78027,0.82244,0.57097,0.92639,5.8275e-05,5.8275e-05,5.8275e-05
52,421.571,0.56734,0.49181,0.89546,0.9021,0.91824,0.94525,0.78424,0.78994,0.52203,0.90754,5.27805e-05,5.27805e-05,5.27805e-05
53,428.507,0.58299,0.50152,0.90334,0.9062,0.91525,0.97,0.82128,0.75634,0.49836,0.89091,4.7286e-05,4.7286e-05,4.7286e-05
54,435.281,0.57898,0.46283,0.88948,0.95629,0.91891,0.97,0.82211,0.75216,0.43733,0.89061,4.17915e-05,4.17915e-05,4.17915e-05
55,441.879,0.56529,0.46612,0.90039,0.93909,0.97269,0.995,0.84405,0.76618,0.41621,0.89543,3.6297e-05,3.6297e-05,3.6297e-05
56,448.795,0.55255,0.45277,0.87103,0.93637,0.98193,0.995,0.83373,0.79039,0.40469,0.90296,3.08025e-05,3.08025e-05,3.08025e-05
57,455.279,0.55042,0.47819,0.89139,0.93921,0.98327,0.995,0.83828,0.79405,0.38893,0.90323,2.5308e-05,2.5308e-05,2.5308e-05
58,462.195,0.57548,0.44715,0.89082,0.94083,0.98596,0.995,0.83311,0.78698,0.38528,0.89911,1.98135e-05,1.98135e-05,1.98135e-05
59,468.794,0.55076,0.44082,0.84548,0.9411,0.98574,0.995,0.84384,0.7872,0.3837,0.89842,1.4319e-05,1.4319e-05,1.4319e-05
60,475.512,0.54593,0.42662,0.84748,0.94959,0.98403,0.995,0.84437,0.78625,0.38265,0.89901,8.8245e-06,8.8245e-06,8.8245e-06
