epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43987,1.78032,4.59262,1.42003,0.12491,0.25313,0.04563,0.02519,1.51578,3.55345,1.23443,1.875e-05,1.875e-05,1.875e-05
2,12.6958,1.81659,4.61135,1.4817,0.12232,0.32127,0.05832,0.02995,1.51753,3.44391,1.2298,4.30281e-05,4.30281e-05,4.30281e-05
3,17.5441,1.60051,3.92508,1.26549,0.05699,0.62539,0.09396,0.0581,1.48181,4.27425,1.26617,6.64812e-05,6.64812e-05,6.64812e-05
4,22.5657,1.51045,2.97691,1.22142,0.26823,0.4985,0.16651,0.10373,1.42266,5.33536,1.29167,8.91094e-05,8.91094e-05,8.91094e-05
5,26.795,1.44682,2.3843,1.2181,0.20439,0.48088,0.22805,0.14599,1.45542,5.35618,1.30542,0.000110913,0.000110913,0.000110913
6,31.2553,1.39844,2.09325,1.12587,0.28208,0.5327,0.33373,0.21837,1.41856,4.60848,1.27969,0.000131891,0.000131891,0.000131891
7,35.6284,1.41005,1.81539,1.15975,0.29989,0.61028,0.39957,0.26045,1.35447,3.52048,1.23386,0.000152044,0.000152044,0.000152044
8,39.8506,1.37268,1.64141,1.15198,0.33193,0.7058,0.44508,0.28631,1.38429,2.76131,1.2514,0.000171372,0.000171372,0.000171372
9,44.0143,1.39826,1.55136,1.17906,0.44477,0.63859,0.51243,0.32832,1.41827,1.9656,1.25721,0.000189875,0.000189875,0.000189875
10,48.4416,1.37275,1.45001,1.1601,0.65197,0.70748,0.65603,0.42431,1.38445,1.49525,1.21371,0.000207553,0.000207553,0.000207553
11,52.8652,1.32026,1.30291,1.13209,0.6872,0.65878,0.72739,0.45867,1.40219,1.47551,1.22925,0.000224406,0.000224406,0.000224406
12,57.2117,1.36501,1.20719,1.15739,0.67675,0.75915,0.76993,0.49143,1.41916,1.34685,1.25271,0.000240434,0.000240434,0.000240434
13,61.5549,1.34588,1.15766,1.12708,0.6724,0.74833,0.78504,0.50446,1.40781,1.1786,1.24452,0.000255638,0.000255638,0.000255638
14,65.9273,1.32542,1.06226,1.13108,0.66426,0.81603,0.7864,0.49617,1.40146,1.16788,1.23024,0.000270016,0.000270016,0.000270016
15,70.4439,1.30353,1.02221,1.12568,0.78562,0.80128,0.83843,0.54788,1.41539,1.05063,1.22624,0.000283569,0.000283569,0.000283569
16,74.5073,1.31016,0.97683,1.09183,0.77169,0.7903,0.8214,0.54527,1.41316,1.0027,1.21867,0.000296297,0.000296297,0.000296297
17,78.34,1.30892,0.94999,1.11451,0.86505,0.77762,0.86305,0.57936,1.3895,0.96126,1.21433,0.0003082,0.0003082,0.0003082
18,82.2898,1.2613,0.89308,1.11951,0.92872,0.79993,0.91037,0.608,1.39991,0.9324,1.23588,0.000319278,0.000319278,0.000319278
19,86.2901,1.3037,0.90556,1.14119,0.83912,0.83147,0.91102,0.57744,1.43334,0.98144,1.24789,0.000329531,0.000329531,0.000329531
20,90.3178,1.30036,0.83328,1.10799,0.80386,0.86906,0.90784,0.58422,1.38318,1.02516,1.21369,0.000338959,0.000338959,0.000338959
21,95.0461,1.2983,0.83053,1.08461,0.77474,0.84847,0.86242,0.53559,1.47099,1.05448,1.25219,0.000347562,0.000347562,0.000347562
22,98.9934,1.30548,0.80294,1.13542,0.7701,0.84833,0.85689,0.54384,1.40745,1.05033,1.22056,0.000355341,0.000355341,0.000355341
23,102.745,1.23816,0.75285,1.05219,0.80813,0.82765,0.84596,0.5376,1.41047,1.03415,1.22362,0.000362294,0.000362294,0.000362294
24,106.662,1.15125,0.75333,1.08074,0.84749,0.86588,0.8797,0.55286,1.42165,0.96574,1.22931,0.000368422,0.000368422,0.000368422
25,110.583,1.19677,0.75521,1.07475,0.87508,0.89361,0.91539,0.56779,1.43441,0.89846,1.23886,0.000373725,0.000373725,0.000373725
26,114.537,1.14978,0.71987,1.05985,0.86402,0.86956,0.93521,0.58635,1.41655,0.84452,1.2305,0.000367187,0.000367187,0.000367187
27,118.396,1.1353,0.71337,1.05474,0.82467,0.88956,0.93406,0.58497,1.44118,0.82519,1.24153,0.000356875,0.000356875,0.000356875
28,122.38,1.17188,0.71106,1.04086,0.84256,0.9012,0.95056,0.58758,1.49488,0.83344,1.26572,0.000346563,0.000346563,0.000346563
29,126.423,1.13188,0.68516,1.05577,0.88382,0.90271,0.94478,0.58618,1.51455,0.80088,1.28718,0.00033625,0.00033625,0.00033625
