epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,130.299,1.14896,0.67137,1.06901,0.89015,0.8678,0.95042,0.5775,1.51464,0.80152,1.29255,0.000325938,0.000325938,0.000325938
31,134.093,1.14876,0.66264,1.06016,0.87673,0.8973,0.9531,0.58443,1.4712,0.7556,1.26753,0.000315625,0.000315625,0.000315625
32,137.963,1.11987,0.63669,1.01435,0.85369,0.92973,0.95314,0.58302,1.46321,0.74871,1.26288,0.000305312,0.000305312,0.000305312
33,141.723,1.12635,0.65452,1.0427,0.83753,0.91176,0.9266,0.58052,1.46935,0.76774,1.26651,0.000295,0.000295,0.000295
34,145.756,1.10267,0.62648,1.01461,0.8843,0.87947,0.9346,0.58376,1.46185,0.76782,1.27209,0.000284688,0.000284688,0.000284688
35,149.781,1.07671,0.63058,1.02986,0.87135,0.90014,0.93007,0.59477,1.42693,0.76802,1.25386,0.000274375,0.000274375,0.000274375
36,153.612,1.05996,0.62873,1.04642,0.83458,0.89579,0.92796,0.57808,1.43543,0.80537,1.25158,0.000264062,0.000264062,0.000264062
37,157.647,1.07992,0.64741,1.0559,0.83817,0.90416,0.91663,0.56402,1.46125,0.86265,1.25988,0.00025375,0.00025375,0.00025375
38,161.526,1.04622,0.60929,1.02047,0.82887,0.9201,0.93718,0.57499,1.45457,0.86758,1.2562,0.000243437,0.000243437,0.000243437
39,165.42,1.03925,0.60584,0.99789,0.83999,0.89235,0.94151,0.57406,1.45229,0.82115,1.25422,0.000233125,0.000233125,0.000233125
40,169.222,1.04557,0.61024,1.02346,0.83416,0.90992,0.94466,0.59844,1.44203,0.75372,1.25426,0.000222813,0.000222813,0.000222813
41,172.957,1.02906,0.58637,0.99857,0.83613,0.89616,0.94131,0.59647,1.43879,0.70608,1.25645,0.0002125,0.0002125,0.0002125
42,176.678,0.99827,0.57976,0.97461,0.859,0.90855,0.95469,0.60661,1.44637,0.68065,1.26727,0.000202188,0.000202188,0.000202188
43,180.685,1.02076,0.59121,0.99295,0.86537,0.91499,0.95727,0.60148,1.46106,0.67718,1.27857,0.000191875,0.000191875,0.000191875
44,184.656,1.03375,0.5751,0.99134,0.8817,0.9225,0.95701,0.59461,1.47454,0.67941,1.28279,0.000181563,0.000181563,0.000181563
45,188.577,0.99702,0.58718,1.0224,0.8954,0.90207,0.95427,0.5952,1.50254,0.68646,1.29387,0.00017125,0.00017125,0.00017125
46,192.768,1.00336,0.5734,0.99303,0.87843,0.90172,0.94806,0.58859,1.49544,0.69025,1.29182,0.000160938,0.000160938,0.000160938
47,196.731,0.99237,0.55637,0.98531,0.89606,0.87648,0.93552,0.57974,1.46424,0.68686,1.27617,0.000150625,0.000150625,0.000150625
48,200.86,0.96761,0.57107,0.98468,0.93327,0.8627,0.9505,0.57906,1.44572,0.67692,1.27315,0.000140313,0.000140313,0.000140313
49,204.91,0.96423,0.56615,0.99015,0.91912,0.85154,0.94505,0.57651,1.44003,0.67356,1.26847,0.00013,0.00013,0.00013
50,208.756,0.92983,0.54894,0.95583,0.91044,0.85318,0.96609,0.60042,1.44521,0.65852,1.26757,0.000119688,0.000119688,0.000119688
51,222.967,0.93734,0.53259,1.00571,0.8526,0.95673,0.95846,0.60167,1.47096,0.6686,1.27824,0.000109375,0.000109375,0.000109375
52,226.778,0.88389,0.51988,0.97601,0.85733,0.95683,0.95114,0.58354,1.4862,0.67527,1.28764,9.90625e-05,9.90625e-05,9.90625e-05
53,230.643,0.86845,0.49563,0.9823,0.85302,0.94633,0.95239,0.59404,1.46814,0.68531,1.2792,8.875e-05,8.875e-05,8.875e-05
54,234.492,0.86923,0.49588,0.96643,0.85645,0.93453,0.95339,0.60585,1.43893,0.69153,1.2649,7.84375e-05,7.84375e-05,7.84375e-05
55,238.375,0.8879,0.52418,0.994,0.86162,0.936,0.94591,0.60213,1.42627,0.68805,1.25991,6.8125e-05,6.8125e-05,6.8125e-05
56,242.193,0.85323,0.50105,0.9797,0.86018,0.94116,0.94451,0.60608,1.42237,0.6801,1.25964,5.78125e-05,5.78125e-05,5.78125e-05
57,246.196,0.83581,0.48574,0.95492,0.91216,0.88549,0.94699,0.61235,1.42013,0.67173,1.2595,4.75e-05,4.75e-05,4.75e-05
58,250.295,0.82995,0.48416,0.99545,0.9194,0.87958,0.94657,0.60893,1.4235,0.66504,1.25977,3.71875e-05,3.71875e-05,3.71875e-05
59,254,0.84635,0.49679,0.98144,0.91991,0.87664,0.94353,0.60989,1.43387,0.66479,1.2655,2.6875e-05,2.6875e-05,2.6875e-05
60,257.77,0.84203,0.48729,0.96387,0.92385,0.86724,0.94331,0.60658,1.43751,0.66444,1.26766,1.65625e-05,1.65625e-05,1.65625e-05
