epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2622,0.84167,2.24243,1.23076,0.71334,0.49967,0.66348,0.48967,1.02375,2.49925,1.54481,0.000410354,0.000410354,0.000410354
2,126.688,0.9045,1.5169,1.2375,0.61078,0.54126,0.58682,0.39248,1.19295,2.3683,1.71265,0.000786083,0.000786083,0.000786083
3,184.668,0.95632,1.40448,1.26946,0.7819,0.6877,0.79078,0.54008,1.07244,1.83559,1.51304,0.00112056,0.00112056,0.00112056
4,237.033,0.9406,1.31804,1.26201,0.70063,0.68005,0.72338,0.52193,1.01416,1.88112,1.40513,0.00106437,0.00106437,0.00106437
5,289.772,0.89777,1.21008,1.22099,0.79378,0.69033,0.80992,0.58273,1.23067,1.59769,1.87453,0.0010025,0.0010025,0.0010025
6,340.879,0.88036,1.09258,1.22417,0.83094,0.7939,0.86883,0.62451,1.10958,1.17734,1.57603,0.000940625,0.000940625,0.000940625
7,390.477,0.84656,1.03849,1.20667,0.88971,0.77868,0.86428,0.64538,0.95297,1.03591,1.36265,0.00087875,0.00087875,0.00087875
8,442.659,0.84305,0.97028,1.18434,0.88819,0.76035,0.86931,0.65112,0.89372,1.01686,1.31931,0.000816875,0.000816875,0.000816875
9,493.472,0.81171,0.94429,1.18119,0.82614,0.75561,0.82456,0.61843,0.98416,1.34411,1.42861,0.000755,0.000755,0.000755
10,542.85,0.79963,0.87688,1.17446,0.8911,0.78473,0.9083,0.70742,0.97515,0.95525,1.45893,0.000693125,0.000693125,0.000693125
11,619.856,0.7374,0.91259,1.151,0.88888,0.84762,0.91997,0.72032,0.98033,0.82624,1.46454,0.00063125,0.00063125,0.00063125
12,647.659,0.70401,0.79802,1.1168,0.91311,0.84126,0.93103,0.71491,0.95666,0.83552,1.36676,0.000569375,0.000569375,0.000569375
13,675.175,0.68002,0.73783,1.10303,0.9128,0.90183,0.9379,0.73326,0.89054,0.71284,1.28472,0.0005075,0.0005075,0.0005075
14,702.94,0.66791,0.68884,1.07817,0.90348,0.86002,0.94114,0.75099,0.92422,0.72057,1.44134,0.000445625,0.000445625,0.000445625
15,730.307,0.63189,0.64622,1.06319,0.9116,0.83118,0.93308,0.75516,0.90029,0.77436,1.38649,0.00038375,0.00038375,0.00038375
16,757.813,0.6099,0.61331,1.04884,0.91767,0.8662,0.94378,0.75711,0.89246,0.80099,1.31284,0.000321875,0.000321875,0.000321875
17,779.1,0.59071,0.56946,1.02208,0.91826,0.88126,0.94829,0.76867,0.89775,0.63342,1.34934,0.00026,0.00026,0.00026
18,790.818,0.56965,0.53468,0.99982,0.94996,0.90893,0.95578,0.78132,0.87058,0.57613,1.35683,0.000198125,0.000198125,0.000198125
19,817.521,0.54411,0.50023,0.99488,0.96497,0.86709,0.95127,0.78254,0.85448,0.58978,1.345,0.00013625,0.00013625,0.00013625
20,845.704,0.53093,0.49223,0.98706,0.94431,0.9046,0.95309,0.78811,0.82713,0.58824,1.33343,7.4375e-05,7.4375e-05,7.4375e-05
